endTime,artistName,trackName,msPlayed
2023-03-07 22:07,Taylor Swift,Anti-Hero,200690
2023-03-07 22:11,Taylor Swift,Blank Space,231826
2023-03-07 22:15,Taylor Swift,Wildest Dreams (Taylor's Version),220433
2023-03-07 22:53,Taylor Swift,Midnight Rain,153767
2023-03-07 22:54,Chino & Nacho,Niña Bonita,1728
2023-03-07 22:54,Alexis y Fido,Rompe la Cintura,2197
2023-03-07 22:57,Yera,Bachata Blue,195434
2023-03-07 23:01,Prince Royce,Si Te Preguntan... - feat. Nicky Jam & Jay Wheeler,223073
2023-03-07 23:01,Chayanne,Humanos a Marte,49078
2023-03-08 01:20,Carlos Vives,Volví a Nacer,3338
2023-03-08 01:24,Taylor Swift,Anti-Hero,200690
2023-03-08 01:27,Taylor Swift,Blank Space,231826
2023-03-08 01:31,Taylor Swift,Wildest Dreams (Taylor's Version),220433
2023-03-08 01:34,Taylor Swift,Midnight Rain,174782
2023-03-08 01:38,Taylor Swift,Don’t Blame Me,236413
2023-03-08 01:42,Taylor Swift,Style,231000
2023-03-08 02:13,Taylor Swift,Bejeweled,74814
2023-03-08 02:13,Taylor Swift,Love Story (Taylor’s Version),4128
2023-03-08 02:13,Taylor Swift,Cruel Summer,1216
2023-03-08 02:17,Taylor Swift,cardigan,239560
2023-03-08 02:24,Taylor Swift,I Knew You Were Trouble (Taylor's Version),28654
2023-03-08 02:29,Taylor Swift,Maroon,218270
2023-03-08 02:34,Taylor Swift,august,261922
2023-03-08 02:40,Taylor Swift,Enchanted,352186
2023-03-08 02:50,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2023-03-08 02:53,Taylor Swift,Karma,204852
2023-03-08 02:57,Taylor Swift,Delicate,232253
2023-03-08 03:00,Taylor Swift,"You're On Your Own, Kid",194206
2023-03-08 03:04,Taylor Swift,Shake It Off,219200
2023-03-08 03:08,Taylor Swift,You Belong With Me (Taylor’s Version),231124
2023-03-08 03:11,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),193146
2023-03-08 12:24,Miley Cyrus,Flowers,0
2023-03-08 12:26,Miley Cyrus,Flowers (Demo),160341
2023-03-08 12:30,The Weeknd,Die For You - Remix,2218
2023-03-08 12:33,LAGOS,No Se Acaba Hasta Que Acabe,186832
2023-03-08 12:35,Sebastian Yatra,Una Noche Sin Pensar,161173
2023-03-08 12:37,KAROL G,TQG,96327
2023-03-08 12:42,Halsey,Die 4 Me,72746
2023-03-08 12:46,Hozier,Cherry Wine - Live,240146
2023-03-08 12:52,The 1975,Somebody Else,347520
2023-03-08 12:57,Lorde,A World Alone,294222
2023-03-08 13:00,The Head And The Heart,Honeybee,196055
2023-03-08 13:03,Arctic Monkeys,Why'd You Only Call Me When You're High?,161123
2023-03-08 13:08,Her's,Cool with You,302645
2023-03-08 13:09,Taylor Swift,Bad Blood,31908
2023-03-08 13:34,Peach Pit,Tommy's Party,207786
2023-03-08 13:38,The Weeknd,Often,249040
2023-03-08 13:39,The Paper Kites,Bloom - Bonus Track,21798
2023-03-08 13:43,The Weeknd,Wicked Games,228714
2023-03-08 14:16,Fleetwood Mac,Oh Diane - 2016 Remaster,17920
2023-03-08 14:28,Taylor Swift,Cornelia Street - Live From Paris,358669
2023-03-08 14:31,Taylor Swift,The Man - Live From Paris,219385
2023-03-08 14:36,Taylor Swift,Daylight - Live From Paris,262320
2023-03-08 14:38,Taylor Swift,You Need To Calm Down - Live From Paris,116567
